Juthur_A0_WhatIsJuthur_AR	شرح المشروع	ما هو مشروع جُذُور؟	What is the Juthur Project?
Juthur_A1_SixPrinciples_AR	شرح المشروع	المبادئ الستة لنظرية القراءة الملموسة	The Six Principles of TRF
Juthur_A2_FourteenStations_AR	شرح المشروع	رحلة المحطات الأربع عشرة	The Fourteen Stations
Juthur_A3_TwentyBooks_AR	شرح المشروع	الأسفار العشرون: نظرة شاملة	The Twenty Journeys: Overview
Juthur_A4_ForParents_AR	شرح المشروع	للوالدين — جُذُور في البيت	For Parents — Juthur at Home
Juthur_A5_ForTeachers_AR	شرح المشروع	للمعلمين — بروتوكول الجلسة	For Teachers — The Session Protocol
Juthur_B01_NafasAlBadhra_AR	الأسفار العشرون	السفر الأول — نَفَسُ الْبَذْرَة	Journey I — Breath of the Seed
Juthur_B02_SawtAlBadhra_AR	الأسفار العشرون	السفر الثاني — صَوْتُ الْبَذْرَة	Journey II — Voice of the Seed
Juthur_B03_AwwalAlSawamit_AR	الأسفار العشرون	السفر الثالث — أَوَّلُ الصَّوَامِت	Journey III — First Consonants
Juthur_B04_InsatAlBurum_AR	الأسفار العشرون	السفر الرابع — إِنْصَاتُ الْبُرْعُم	Journey IV — The Bud Listens
Juthur_B05_AlHurufAlMutaqaddima_AR	الأسفار العشرون	السفر الخامس — الحروف المتقدمة	Journey V — Advanced Letters
Juthur_B06_JisrAlQiraa_AR	الأسفار العشرون	السفر السادس — جِسْرُ الْقِرَاءَة	Journey VI — Bridge of Reading
Juthur_B07_MahattatAlKalima_AR	الأسفار العشرون	السفر السابع — مَحَطَّاتُ الْكَلِمَة	Journey VII — Stations of the Word
Juthur_B08_JisrAlJumla_AR	الأسفار العشرون	السفر الثامن — جِسْرُ الْجُمْلَة	Journey VIII — Bridge of the Sentence
Juthur_B09_WarshatAlMaani_AR	الأسفار العشرون	السفر التاسع — وَرْشَةُ الْمَعَانِي	Journey IX — Workshop of Meanings
Juthur_B10_MamalAlJumal_AR	الأسفار العشرون	السفر العاشر — مَعْمَلُ الْجُمَل	Journey X — Sentence Laboratory
Juthur_B11_NasijAlNass_AR	الأسفار العشرون	السفر الحادي عشر — نَسِيجُ النَّصّ	Journey XI — Fabric of the Text
Juthur_B12_AlMuallifAlSaghir_AR	الأسفار العشرون	السفر الثاني عشر — الْمُؤَلِّفُ الصَّغِير	Journey XII — The Little Author
Juthur_B13_AlNaqidAlSaghir_AR	الأسفار العشرون	السفر الثالث عشر — النَّاقِدُ الصَّغِير	Journey XIII — The Little Critic
Juthur_B14_QaidAlBustan_AR	الأسفار العشرون	السفر الرابع عشر — قَائِدُ الْبُسْتَان	Journey XIV — Leader of the Orchard
Juthur_B15_ShuraAlAwraq_AR	الأسفار العشرون	السفر الخامس عشر — شُورَى الأوراق	Journey XV — Council of Leaves
Juthur_B16_QanaatAlThamara_AR	الأسفار العشرون	السفر السادس عشر — قَنَاعَةُ الثَّمَرَة	Journey XVI — Conviction of the Fruit
Juthur_B17_AlLughaFilHayat_AR	الأسفار العشرون	السفر السابع عشر — اللغة في الحياة	Journey XVII — Language in Life
Juthur_B18_TanawwuAlSiyaqat_AR	الأسفار العشرون	السفر الثامن عشر — تنوّع السياقات	Journey XVIII — Variety of Contexts
Juthur_B19_AlLughaWalHawiyya_AR	الأسفار العشرون	السفر التاسع عشر — اللغة والهوية	Journey XIX — Language and Identity
Juthur_B20_IrthAlHasad_AR	الأسفار العشرون	السفر العشرون — إِرْثُ الْحَصَاد	Journey XX — Legacy of the Harvest
Juthur_C01_Tazamun_AR	مقاطع قصيرة	ما هو التزامن الحسي؟	What is Sensory Synchrony?
Juthur_C02_PixelFatigue_AR	مقاطع قصيرة	إرهاق البكسلات	Pixel Fatigue
Juthur_C03_Principle1_Tazamun_AR	مقاطع قصيرة	المبدأ الأول: التزامن	Principle 1: Synchrony
Juthur_C04_Principle2_Tadarruj_AR	مقاطع قصيرة	المبدأ الثاني: التدرج	Principle 2: Gradation
Juthur_C05_Principle3_Takhsis_AR	مقاطع قصيرة	المبدأ الثالث: التخصيص	Principle 3: Specification
Juthur_C06_Principle4_Nafidha_AR	مقاطع قصيرة	المبدأ الرابع: النافذة	Principle 4: Window
Juthur_C07_Principle5_Shumul_AR	مقاطع قصيرة	المبدأ الخامس: الشمول	Principle 5: Wholeness
Juthur_C08_Principle6_Takamul_AR	مقاطع قصيرة	المبدأ السادس: التكامل	Principle 6: Integration
Juthur_C09_AnfasRitual_AR	مقاطع قصيرة	طقس الأنفاس — جرّبه الآن	The Anfas Ritual — Try It Now
Juthur_C10_JumbazAlHuruf_AR	مقاطع قصيرة	جُمباز الحروف	Jumbaz al-Huruf
Juthur_D1_WhatIsJuthur_EN	English	What is the Juthur Project?	ما هو مشروع جُذُور؟
Juthur_D2_TRFTheory_EN	English	The TRF Theory	نظرية القراءة الملموسة
Juthur_D3_Pandemic_EN	English	Absent in the Time of the Pandemic	غائب في زمن الجائحة
Juthur_D4_AbsentVintage_EN	English	The Absent Vintage Series	سلسلة الغائب
Juthur_D5_ForEducators_EN	English	Juthur for Educators	جُذُور للمربّين
